"Qty";"Value";"Device";"Package";"Parts";"Description";"POPULARITY";"SPICEPREFIX";
"3";"";"LEDSMT1206";"1206";"CHARGE, L_BATT, PWR";"LED";"20";"";
"2";"0.1u";"C-EUC1206";"C1206";"C1, C20";"CAPACITOR, European symbol";"54";"C";
"3";"1.5k";"R-EU_M1206";"M1206";"R5, R10, R19";"RESISTOR, European symbol";"17";"R";
"1";"1.62M";"R-EU_M1206";"M1206";"R8";"RESISTOR, European symbol";"17";"R";
"1";"100";"R-EU_M1206";"M1206";"R1";"RESISTOR, European symbol";"17";"R";
"4";"100k";"R-EU_0204/2V";"0204V";"R13, R14, R17, R18";"RESISTOR, European symbol";"11";"R";
"1";"100k";"R-EU_M1206";"M1206";"R7";"RESISTOR, European symbol";"17";"R";
"1";"100n";"C-EUC1206";"C1206";"C4";"CAPACITOR, European symbol";"54";"C";
"4";"10k";"R-EU_0204/2V";"0204V";"R11, R12, R15, R16";"RESISTOR, European symbol";"11";"R";
"1";"10k";"R-EU_M1206";"M1206";"R4";"RESISTOR, European symbol";"17";"R";
"1";"10k";"RK097-DUAL-W/SWITCH";"RK097-DUAL-ELEMENT-W/SWITCH";"U$6";"My symbol for Apls RK097 Dual Pot with Switch Part.";"";"";
"1";"10u";"C-EUC1206";"C1206";"C5";"CAPACITOR, European symbol";"54";"C";
"1";"10u";"CPOL-EUB";"PANASONIC_B";"C17";"POLARIZED CAPACITOR, European symbol";"4";"C";
"1";"180k";"R-EU_M1206";"M1206";"R9";"RESISTOR, European symbol";"17";"R";
"1";"1k";"R-EU_M1206";"M1206";"R2";"RESISTOR, European symbol";"17";"R";
"2";"1u";"C-EUC1206";"C1206";"C2, C3";"CAPACITOR, European symbol";"54";"C";
"1";"1u";"CPOL-EUB";"PANASONIC_B";"C16";"POLARIZED CAPACITOR, European symbol";"4";"C";
"1";"2.2u";"C-EUC1206";"C1206";"C6";"CAPACITOR, European symbol";"54";"C";
"1";"220u";"C-EUC1206";"C1206";"C7";"CAPACITOR, European symbol";"54";"C";
"2";"220u";"C-EUC1210";"C1210";"C12, C13";"CAPACITOR, European symbol";"0";"C";
"1";"553k";"R-EU_M1206";"M1206";"R6";"RESISTOR, European symbol";"17";"R";
"4";"5p";"C-EUC1206";"C1206";"C14, C15, C18, C19";"CAPACITOR, European symbol";"54";"C";
"1";"6.8uH";"DR127";"DR127";"L1";"High Power Density, High Efficiency, Shielded Inductors";"2";"L";
"1";"670";"R-EU_M1206";"M1206";"R3";"RESISTOR, European symbol";"17";"R";
"4";"800n";"C-EUC1812";"C1812";"C8, C9, C10, C11";"CAPACITOR, European symbol";"3";"C";
"1";"BLM2010E";"BLM2010E";"TSSOP8";"U$2";"";"";"";
"1";"BQ21040M";"BQ21040M";"SOT23-6";"U$3";"";"";"X";
"1";"DTS-3";"DTS-3";"DTS-3";"BATT_RST";"";"";"";
"1";"FS312F-G";"FS312F-G";"SOT23-6";"U$1";"";"";"";
"1";"MOLEX_54819";"MOLEX_54819";"MOLEX_54819";"U$4";"";"";"";
"2";"MOUNT-PAD-SQUARE2.8";"MOUNT-PAD-SQUARE2.8";"2,8-PAD-SQUARE";"BATT+, BATT-";"MOUNTING PAD, square";"3";"";
"2";"PJ-35372";"PJ-35372";"PJ-35372";"IN, OUT";"";"";"";
"1";"TPA6112A2";"TPA6112A2";"MSOP-10";"TPA6112A1";"";"";"";
"1";"TPS61032";"TPS61032";"TSSOP16L";"U$5";"";"";"X";
