C10, 25.24, 40.94, 270.00, 800n, C1812
C12, 42.83, 8.39, 270.00, 220u, C1210
C14, 30.53, 22.15, 180.00, 5p, C1206
C15, 17.25, 33.61, 270.00, 5p, C1206
C16, 46.29, 32.47, 180.00, 1u, PANASONIC_B
C17, 23.87, 26.46, 90.00, 10u, PANASONIC_B
C18, 42.69, 28.15, 180.00, 5p, C1206
C4, 35.50, 70.13, 270.00, 100n, C1206
C5, 39.45, 67.15, 180.00, 10u, C1206
C6, 14.73, 64.90, 180.00, 2.2u, C1206
C7, 14.68, 62.10, 180.00, 220u, C1206
C8, 33.44, 39.14, 270.00, 800n, C1812
C9, 36.96, 23.61, 90.00, 800n, C1812
CHARGE, 12.41, 2.08, 0.00, , 1206
L1, 36.88, 54.88, 180.00, 6.8uH, DR127
L_BATT, 18.86, 2.08, 0.00, , 1206
PWR, 39.96, 1.94, 0.00, , 1206
R10, 14.79, 56.85, 0.00, 1.5k, M1206
R19, 35.81, 5.96, 90.00, 1.5k, M1206
R6, 23.50, 73.17, 90.00, 553k, M1206
R7, 29.50, 73.18, 270.00, 100k, M1206
R8, 21.50, 65.78, 270.00, 1.62M, M1206
R9, 17.47, 71.50, 0.00, 180k, M1206
TPA6112A1, 27.19, 31.09, 90.00, TPA6112A2, MSOP-10
U$5, 28.92, 65.58, 90.00, TPS61032, TSSOP16L
